category,location,capture_date,relpath,filename,width,height,megapixels,orientation,size_mb,SELECT_yes,draft_title,draft_price_usd
Cityscapes,"Soda Springs, ID",2025-08-31,Cityscapes/UT-SodaSprings/DJI_20250831200823_0060_D.JPG,DJI_20250831200823_0060_D.JPG,8064,4536,36.6,landscape,20.5,,Soda Springs Aerial View No. 01,29
Cityscapes,"Soda Springs, ID",2025-08-31,Cityscapes/UT-SodaSprings/DJI_20250831200848_0061_D.JPG,DJI_20250831200848_0061_D.JPG,8064,4536,36.6,landscape,21.0,,Soda Springs Aerial View No. 02,29
Cityscapes,"Soda Springs, ID",2025-08-31,Cityscapes/UT-SodaSprings/DJI_20250831200932_0062_D.JPG,DJI_20250831200932_0062_D.JPG,8064,4536,36.6,landscape,25.6,,Soda Springs Aerial View No. 03,29
Cityscapes,"Soda Springs, ID",2025-08-31,Cityscapes/UT-SodaSprings/DJI_20250831200944_0063_D.JPG,DJI_20250831200944_0063_D.JPG,8064,4536,36.6,landscape,24.4,,Soda Springs Aerial View No. 04,29
Mountainscapes,"Palisades Reservoir, ID",2025-09-27,Mountainscapes/Palisades-Idaho_20250927/DJI_20250927072917_0001_D.JPG,DJI_20250927072917_0001_D.JPG,12288,6912,84.9,landscape,38.4,,Palisades Reservoir Mountain Vista No. 01,45
Mountainscapes,"Palisades Reservoir, ID",2025-09-27,Mountainscapes/Palisades-Idaho_20250927/DJI_20250927072934_0002_D.JPG,DJI_20250927072934_0002_D.JPG,12288,6912,84.9,landscape,37.6,,Palisades Reservoir Mountain Vista No. 02,45
Mountainscapes,"Palisades Reservoir, ID",2025-09-27,Mountainscapes/Palisades-Idaho_20250927/DJI_20250927073402_0004_D.JPG,DJI_20250927073402_0004_D.JPG,12288,6912,84.9,landscape,34.0,,Palisades Reservoir Mountain Vista No. 03,45
Mountainscapes,"Palisades Reservoir, ID",2025-09-27,Mountainscapes/Palisades-Idaho_20250927/DJI_20250927073407_0005_D.JPG,DJI_20250927073407_0005_D.JPG,12288,6912,84.9,landscape,35.4,,Palisades Reservoir Mountain Vista No. 04,45
Mountainscapes,"Palisades Reservoir, ID",2025-09-27,Mountainscapes/Palisades-Idaho_20250927/DJI_20250927073439_0006_D.JPG,DJI_20250927073439_0006_D.JPG,12288,6912,84.9,landscape,35.7,,Palisades Reservoir Mountain Vista No. 05,45
Mountainscapes,"Palisades Reservoir, ID",2025-09-27,Mountainscapes/Palisades-Idaho_20250927/DJI_20250927073526_0007_D.JPG,DJI_20250927073526_0007_D.JPG,12288,6912,84.9,landscape,37.2,,Palisades Reservoir Mountain Vista No. 06,45
Mountainscapes,"Palisades Reservoir, ID",2025-09-27,Mountainscapes/Palisades-Idaho_20250927/DJI_20250927075609_0008_D.JPG,DJI_20250927075609_0008_D.JPG,12288,6912,84.9,landscape,43.0,,Palisades Reservoir Mountain Vista No. 07,45
Mountainscapes,"Palisades Reservoir, ID",2025-09-27,Mountainscapes/Palisades-Idaho_20250927/DJI_20250927075633_0009_D.JPG,DJI_20250927075633_0009_D.JPG,8064,6048,48.8,landscape,23.0,,Palisades Reservoir Mountain Vista No. 08,39
